task,method,quality_mean,quality_std,latency_mean,latency_std,robustness_mean,efficiency
QA,Baseline,71.2,0.5999999999999996,782.3333333333334,11.676186592091343,0.44,0.0910097997443545
QA,PromptTune,75.3,0.4582575694955882,845.0,7.0,0.51,0.08911242603550296
QA,RetrieverX,77.7,0.3605551275463957,930.0,12.0,0.57,0.0835483870967742
QA,GuardLM,80.13333333333333,0.3511884584284232,1017.0,14.106735979665885,0.66,0.07879383808587348
QA,Ours,83.23333333333333,0.41633319989322565,965.0,11.789826122551595,0.75,0.08625215889464594
Summarization,Baseline,67.10000000000001,0.3000000000000007,762.3333333333334,8.736894948054116,0.41,0.08801923917796241
Summarization,PromptTune,71.63333333333333,0.4509249752822836,812.6666666666666,7.023769168568507,0.49,0.08814602132895816
Summarization,RetrieverX,73.83333333333333,0.35118845842842944,905.0,9.539392014169456,0.55,0.08158379373848987
Summarization,GuardLM,76.93333333333334,0.4509249752822922,982.3333333333334,8.736894948054116,0.64,0.07831693247370207
Summarization,Ours,80.3,0.5567764362830088,941.3333333333334,6.1101009266077995,0.7200000000000001,0.08530453257790367
Coding,Baseline,63.06666666666666,0.3511884584284219,892.3333333333334,11.676186592091343,0.36999999999999994,0.07067612999626446
Coding,PromptTune,67.60000000000001,0.4582575694955781,953.3333333333334,10.598742063723083,0.45,0.07090909090909092
Coding,RetrieverX,70.8,0.399999999999995,1038.6666666666667,16.04161255402126,0.52,0.06816431322207958
Coding,GuardLM,73.8,0.29999999999999716,1125.0,13.0,0.61,0.06559999999999999
Coding,Ours,77.5,0.4582575694955859,1085.0,8.888194417315589,0.69,0.07142857142857142
Agent,Baseline,58.300000000000004,0.45825756949558705,1182.3333333333333,11.676186592091303,0.33,0.04930927544403722
Agent,PromptTune,63.63333333333333,0.5507570547286126,1240.6666666666667,13.012814197295395,0.39999999999999997,0.05128962923159591
Agent,RetrieverX,66.76666666666667,0.3511884584284185,1335.0,13.0,0.47,0.05001248439450687
Agent,GuardLM,70.3,0.4582575694955781,1451.0,13.527749258468683,0.56,0.048449345279117845
Agent,Ours,74.10000000000001,0.4582575694955781,1391.6666666666667,12.50333288900734,0.64,0.05324550898203593
