Attack,Model_Short,Watermark,ASR (Avg),TPR_After (Avg),PPL_Attacked (Avg),Attack_Strength_Index
DIPPER,Mistral-7B,Unbiased,1.0,0.0,7.6806,0.9919803763259475
DIPPER,Qwen2.5-7B,Unbiased,1.0,0.0,10.55,0.9859716789944786
SIRA,Qwen2.5-7B,Unbiased,0.9895,0.005,9.6134,0.9824556065600498
SIRA,Mistral-7B,Unbiased,0.9796,0.01,7.8736,0.9808344761016461
DIPPER,Llama-3.1-8B,Unbiased,0.9881,0.005,12.0341,0.9768895315900836
SIRA,Mistral-7B,DIP,0.9762,0.02,8.2459,0.9753478996037911
SA,Mistral-7B,KGW,1.0,0.0,17.8007,0.9707882741916345
DIPPER,Qwen2.5-7B,DIP,0.9767,0.02,11.527,0.96865457133314
SIRA,Qwen2.5-7B,DIP,0.9651,0.03,10.6934,0.9627823243294666
SIRA,Qwen2.5-7B,SynthID,0.9681,0.03,11.862,0.9614001679013995
